domain_similarity,url_length,http_protocol,num_dot,num_slash,num_double_slash,num_hyphen,num_underscore,num_equal,num_paranthesis,num_curly_bracket,num_square_bracket,num_less_and_greater,num_tilde,num_asterisk,num_plus,url_inc_at,url_inc_ip,response_history,redirect,num_a_href,num_input,num_button,num_link_href,num_iframe,class
0.79,52,1,2,0,1,2,0,0,0,0,0,0,0,0,0,0,0,25,0,18,1,0,5,0,1
0.45,41,1,2,1,1,1,0,0,0,0,0,0,0,0,0,0,0,25,0,0,1,0,1,0,1
0.88,28,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,7,0,44,0,0,36,1,0
0.83,23,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,13,0,495,2,9,11,8,0
0.9,31,1,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,13,0,36,0,2,11,2,0
0.84,30,1,0,0,1,3,0,0,0,0,0,0,0,0,0,0,0,25,0,57,1,0,11,2,1
1.0,29,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,25,0,49,0,0,33,3,0
1.0,27,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,13,0,103,1,0,4,1,0
1.0,19,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,13,0,23,0,65,93,0,0
0.34,55,0,2,3,1,0,0,1,0,0,0,0,0,0,0,0,0,13,1,0,0,0,1,0,1
0.9,32,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,20,0,6,1,0,1,0,0
0.2,44,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,20,1,0,0,0,1,0,1
1.0,26,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,25,0,200,0,0,4,0,0
0.65,68,1,2,2,1,2,0,0,0,0,0,0,0,0,0,0,0,4,1,195,3,16,16,3,0
0.86,34,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,13,1,6,0,0,18,0,1
0.87,38,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,25,0,1,0,0,0,0,1
0.5,54,0,1,2,1,1,0,0,0,0,0,0,0,0,0,0,0,25,0,0,1,1,3,0,1
0.71,20,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,25,0,67,0,0,38,2,1
0.77,35,1,0,0,1,4,0,1,0,0,0,0,0,0,0,0,0,25,0,0,0,0,0,0,1
0.86,27,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,5,1,130,1,4,20,2,0
0.88,27,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,7,0,34,0,0,7,1,0
0.85,24,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,15,1,549,3,40,35,3,0
0.89,30,1,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,13,0,135,8,14,10,0,0
0.7,48,1,2,0,1,0,0,0,0,0,0,0,0,0,0,1,0,25,0,0,1,0,0,0,1
0.44,49,0,1,3,1,1,0,0,0,0,0,0,0,0,0,0,0,25,0,0,0,0,0,0,1
0.88,27,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,13,0,12,53,0,23,0,0
0.82,26,0,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,25,0,24,0,0,1,0,1
0.94,78,1,3,0,1,4,0,0,0,0,0,0,0,0,0,0,0,25,0,0,0,0,6,0,1
0.82,22,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,13,0,285,2,29,42,1,0
0.62,25,1,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,13,0,42,1,2,5,2,0
0.88,27,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,11,0,144,0,107,32,1,0
0.83,23,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,13,0,121,0,22,18,0,0
0.24,22,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,18,1,76,1,0,10,0,1
1.0,23,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,25,0,0,0,0,0,0,0
0.55,54,0,1,3,1,0,0,0,0,0,0,0,0,0,0,0,0,13,1,0,0,0,0,0,1
0.88,28,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,13,0,44,1,0,7,5,0
0.8,21,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,16,0,222,3,20,7,0,0
0.46,57,0,2,3,1,0,0,0,0,0,0,0,0,0,0,0,0,25,0,53,1,0,3,0,1
0.89,41,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,13,1,4,0,0,0,0,1
0.34,77,0,2,7,1,0,0,0,0,0,0,0,0,0,0,0,0,25,0,0,0,0,0,0,1
0.78,124,1,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,25,0,159,0,5,17,7,1
1.0,29,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,13,0,67,1,3,26,0,0
0.72,35,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,20,1,3,0,0,2,0,1
0.82,22,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,7,0,163,2,1,28,3,0
1.0,19,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,25,0,0,0,0,0,0,0
0.89,30,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,13,0,88,4,9,17,4,0
0.79,37,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,20,1,3,0,0,2,0,1
0.91,34,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,7,0,123,3,0,5,2,0
0.85,37,1,1,1,1,0,0,1,0,0,0,0,0,0,0,0,0,2,1,16,0,0,18,0,0
0.87,26,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,7,0,43,1,4,138,0,0
0.75,41,1,1,2,1,1,0,0,0,0,0,0,0,0,0,0,0,11,0,276,1,4,15,10,0
1.0,19,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,20,0,43,0,0,3,0,0
0.94,78,1,3,0,1,4,0,0,0,0,0,0,0,0,0,0,0,25,0,0,0,0,6,0,1
0.67,57,0,2,1,1,1,0,0,0,0,0,0,0,0,0,0,0,20,1,0,0,0,4,0,1
0.83,27,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,25,0,4,0,1,7,0,1
0.83,30,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,18,0,12,0,0,16,0,0
0.68,56,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,20,1,0,0,0,1,0,1
0.72,34,1,0,1,1,2,0,0,0,0,0,0,0,0,0,0,0,25,0,5,0,0,0,0,1
0.88,28,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,13,0,602,3,1871,22,2,0
0.45,48,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,25,0,2,1,0,3,0,1
1.0,25,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,25,0,70,0,1,45,2,0
1.0,22,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,25,0,3,0,0,0,0,0
0.91,34,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,13,0,189,2,8,18,24,0
1.0,19,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,13,0,83,0,5,24,1,0
0.85,31,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,25,0,15,1,0,6,0,1
1.0,24,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,25,0,11,0,0,3,2,0
0.84,32,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,25,0,2,0,0,3,0,1
0.75,19,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,20,0,114,2,9,35,0,0
0.45,51,1,1,2,1,1,0,0,0,0,0,0,0,0,0,0,0,25,0,0,1,1,3,0,1
0.84,29,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,25,0,2,2,0,2,2,1
0.56,62,1,1,4,1,0,0,0,0,0,0,0,0,0,0,0,0,13,1,1,0,0,2,2,1
0.47,45,1,1,2,1,1,0,0,0,0,0,0,0,0,0,0,0,25,0,9,1,0,7,0,1
0.94,78,1,3,0,1,4,0,0,0,0,0,0,0,0,0,0,0,25,0,0,0,0,6,0,1
0.85,30,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,25,0,0,0,0,0,0,1
0.86,25,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,13,0,43,0,0,3,0,0
1.0,22,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,13,0,70,5,24,32,2,0
0.49,37,1,0,3,1,2,0,0,0,0,0,0,0,0,0,0,0,25,0,11,0,0,5,0,1
0.67,26,1,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,25,0,0,0,0,0,0,1
0.44,46,1,1,2,1,0,1,0,0,0,0,0,0,0,0,0,0,25,0,1,0,0,4,0,1
0.83,23,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,13,0,20,0,0,23,4,0
0.86,25,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,7,0,34,0,0,4,2,0
0.56,26,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,25,0,29,2,0,13,0,1
0.94,78,1,3,0,1,4,0,0,0,0,0,0,0,0,0,0,0,25,0,0,0,0,6,0,1
0.82,22,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,7,0,47,0,1,41,2,0
0.85,24,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,7,0,859,2,0,47,26,0
0.48,37,1,0,2,1,1,0,0,0,0,0,0,0,0,0,0,0,13,1,1,0,0,8,0,1
1.0,21,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,13,0,149,1,1,36,7,0
0.45,66,1,3,4,1,0,0,0,0,0,0,0,0,0,0,0,0,25,0,1,1,1,1,0,1
0.54,30,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,25,0,0,0,0,0,0,1
0.69,42,1,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,25,0,2,1,2,2,0,1
0.69,19,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,25,0,4,1,1,3,0,1
0.81,28,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,7,0,118,3,10,13,0,0
0.4,60,1,2,4,1,1,0,0,0,0,0,0,0,0,0,0,0,25,0,0,0,0,0,0,1
0.85,30,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,25,0,11,1,6,4,5,1
0.85,49,1,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,25,0,452,2,7,20,3,1
0.87,40,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,25,0,52,2,2,75,4,1
1.0,21,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,25,0,10,5,2,6,4,0
0.71,40,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,25,0,18,1,0,5,0,1
0.87,26,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,13,0,148,3,6,51,24,0
0.83,23,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,13,0,1054,4,0,4,0,0
0.85,23,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,13,0,45,3,0,35,1,0
0.39,42,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,7,0,47,0,1,18,2,0
0.83,31,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,25,0,21,2,5,22,0,1
1.0,19,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,25,0,8,0,0,4,0,0
0.25,23,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,43,1,1,5,0,1
1.0,32,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,13,0,39,0,0,24,1,0
1.0,19,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,13,0,314,1,0,10,10,0
1.0,19,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,13,0,116,0,2,10,1,0
0.63,48,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,25,0,18,1,0,5,0,1
0.68,37,0,1,2,1,0,0,0,0,0,0,0,0,0,0,0,0,25,0,0,0,0,0,0,1
1.0,19,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,25,0,14,0,0,1,0,0
0.87,26,1,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,13,0,620,3,4,24,3,0
0.65,58,0,2,3,1,0,0,1,0,0,0,0,0,0,0,0,0,25,0,0,0,0,2,1,1
1.0,17,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,25,0,3,0,0,0,0,0
0.83,31,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,25,0,21,2,5,22,0,1
0.9,31,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,7,0,8,1,2,16,0,0
0.34,54,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,25,0,4,0,2,24,0,1
0.9,31,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,7,0,99,1,4,17,2,0
1.0,21,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,13,0,73,1,6,28,4,0
0.64,32,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,25,0,11,0,0,5,0,1
0.94,78,1,3,0,1,4,0,0,0,0,0,0,0,0,0,0,0,25,0,0,0,0,6,0,1
0.89,24,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,7,0,455,1,1,57,16,0
0.86,24,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,13,0,47,0,0,80,0,0
0.8,21,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,13,0,42,1,6,35,3,0
0.86,25,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,13,0,107,3,30,76,2,0
0.48,43,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,20,1,0,0,0,1,0,1
0.85,30,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,25,0,2,0,0,0,0,1
0.88,81,0,2,0,1,1,0,0,0,0,0,0,0,0,0,0,0,25,0,18,1,0,5,0,1
0.64,78,1,1,1,1,5,0,2,0,0,0,0,0,0,0,0,0,13,1,11,0,0,6,1,1
0.68,32,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,7,1,15,2,3,2,0,1
0.89,29,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,13,0,137,2,2,16,1,0
0.11,74,1,1,0,1,0,1,1,0,0,0,0,0,0,0,0,0,25,0,0,0,0,4,0,1
1.0,28,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,20,0,113,1,4,15,1,0
0.94,78,1,3,0,1,4,0,0,0,0,0,0,0,0,0,0,0,25,0,0,0,0,6,0,1
1.0,33,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,13,0,791,2,35,5,6,0
0.42,49,0,1,2,1,1,0,0,0,0,0,0,0,0,0,0,0,25,0,0,1,1,3,0,1
0.94,78,1,3,0,1,4,0,0,0,0,0,0,0,0,0,0,0,25,0,0,0,0,6,0,1
1.0,18,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,13,0,86,3,103,15,9,0
0.88,27,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,13,0,194,0,1,28,9,0
0.2,44,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,20,1,0,0,0,1,0,1
0.86,25,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,13,0,585,0,2,22,2,0
0.7,53,1,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,20,1,44,1,1,10,0,1
0.43,39,1,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,20,0,0,0,0,0,0,0
0.59,41,0,1,2,1,1,0,0,0,0,0,0,0,0,0,0,0,25,0,0,0,0,0,0,1
0.53,65,1,1,2,1,2,0,0,0,0,0,0,0,0,0,0,0,1,1,126,3,13,16,0,0
1.0,23,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,13,0,56,0,0,3,1,0
0.82,22,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,13,0,407,1,1,17,16,0
0.59,65,0,0,3,1,3,0,0,0,0,0,0,0,0,0,0,0,25,0,1,1,0,0,0,1
0.46,61,0,0,4,1,1,0,0,0,0,0,0,0,0,0,0,0,13,1,0,0,6,2,0,1
0.82,31,1,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,14,1,4,0,0,4,2,0
0.87,26,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,13,0,467,1,5,18,14,0
0.88,27,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,13,0,78,0,0,29,0,0
0.88,28,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,7,0,81,2,15,4,4,0
0.48,63,0,2,5,1,1,0,0,0,0,0,0,0,0,0,0,0,25,0,0,0,0,0,0,1
0.5,45,1,1,2,1,0,0,0,0,0,0,0,0,0,0,0,0,25,0,0,1,1,3,0,1
0.85,37,1,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,4,1,39,0,10,54,1,0
0.78,20,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,13,0,54,1,2,3,2,0
0.73,33,1,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,25,0,1,1,1,1,0,1
1.0,28,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,13,0,25,0,19,7,3,0
0.61,25,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,25,0,0,0,0,0,0,1
0.88,27,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,7,0,205,2,17,14,7,0
0.59,24,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,13,0,143,0,11,4,2,0
0.29,47,0,2,4,1,0,0,0,0,0,0,0,0,0,0,0,0,25,0,1,1,1,1,0,1
0.94,78,1,3,0,1,4,0,0,0,0,0,0,0,0,0,0,0,25,0,0,0,0,6,0,1
1.0,29,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,13,0,16,0,0,4,0,0
1.0,22,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,13,0,215,0,16,31,0,0
1.0,33,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,13,0,22,2,0,31,3,0
0.45,52,1,1,4,1,1,0,0,0,0,0,0,0,0,0,0,0,13,1,82,0,16,4,2,1
0.07,20,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,13,1,0,0,0,9,2,1
0.81,28,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,25,0,0,0,0,2,0,1
0.78,26,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,11,0,199,276,1395,14,3,0
0.9,32,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,13,0,257,1,51,22,6,0
0.94,78,1,3,0,1,4,0,0,0,0,0,0,0,0,0,0,0,25,0,0,0,0,6,0,1
0.74,77,1,2,0,1,1,7,1,0,0,0,0,0,0,0,0,0,7,0,43,2,16,118,2,0
0.4,71,1,2,4,1,0,0,0,0,0,0,0,0,0,0,0,0,25,0,20,1,2,3,0,1
0.76,27,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,7,0,387,0,7,5,0,0
0.84,32,1,1,0,1,2,0,0,0,0,0,0,0,0,0,0,0,25,0,3,1,1,2,0,1
0.85,24,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,7,0,193,2,6,23,11,0
1.0,18,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,20,0,98,2,3,10,1,0
0.85,24,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,7,0,93,2,2,7,2,0
0.83,34,1,1,0,1,0,1,1,0,0,0,0,0,0,0,0,0,13,0,18,1,0,3,0,0
0.83,61,1,1,1,1,0,2,2,0,0,0,0,0,0,0,0,0,7,0,247,1,11,6,1,0
0.87,26,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,13,0,140,2,4,28,22,0
0.67,25,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,13,1,4,0,0,16,0,1
0.62,31,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,25,0,1,0,0,1,0,1
1.0,20,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,25,0,164,7,9,24,2,0
0.58,42,1,0,2,1,1,0,0,0,0,0,0,0,0,0,0,0,25,0,0,1,0,0,0,1
0.47,65,0,2,2,1,0,0,1,0,4,0,0,0,0,0,0,0,25,0,8,1,1,8,0,1
0.83,27,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,25,0,15,1,0,5,0,1
0.84,30,1,3,0,1,0,0,0,0,0,0,0,0,0,0,0,0,13,1,0,0,0,0,0,1
0.35,31,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,13,0,61,1,2,17,3,0
0.28,25,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,20,1,1,0,0,2,0,1
0.78,23,1,0,0,1,2,0,0,0,0,0,0,0,0,0,0,0,13,1,0,1,0,1,0,1
1.0,20,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,13,0,65,0,0,4,0,0
0.87,32,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,25,0,4,0,0,0,0,1
1.0,25,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,20,0,73,0,7,4,0,0
0.89,30,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,13,0,61,3,5,9,1,0
1.0,27,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,25,0,449,1,2,2,1,0
1.0,21,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,13,0,34,0,2,2,0,0
0.42,49,0,1,2,1,1,0,0,0,0,0,0,0,0,0,0,0,25,0,0,1,1,3,0,1
1.0,27,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,10,1,0,0,0,0,0,0
