domain_similarty,url_length,http_protocol,no_dots,no_slash,no_double_slash,no_hyphen,no_underscore,no_equals,no_parantheses,no_curly_brakets,no_square_brakets,no_greater_and_smaller,no_tilde,no_asterick,no_plus,have_at_symbol,url_inc_ip,response_history,redirect,no_a_href_links,no_inputs,no_buttons,no_link_href,no_iframe,result
0.88,36,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,25,0,0,0,0,0,0,1
0.88,28,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,16,0,210,4,7,14,2,0
0.78,20,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,16,0,166,2,3,21,0,0
0.83,23,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,12,0,320,1,15,31,4,0
0.76,22,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,13,1,28,0,0,3,0,1
0.9,32,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,7,0,50,0,8,8,1,0
0.88,27,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,13,0,23,1,0,24,0,0
0.83,67,0,5,2,1,2,0,0,0,0,0,0,0,0,0,0,0,25,0,9,1,0,5,0,1
0.86,25,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,7,0,5,0,0,1,0,0
0.59,70,0,0,5,1,0,0,0,0,0,0,0,0,0,0,0,0,25,0,1,0,0,3,0,1
0.91,33,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,13,0,31,5,8,14,12,0
0.85,24,1,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,13,0,425,1,30,62,19,0
0.84,32,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,25,0,7,1,3,6,0,1
0.56,53,1,2,1,1,1,0,0,0,0,0,0,0,0,0,0,0,20,1,0,0,0,1,0,1
0.87,26,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,7,0,21,0,0,5,0,0
0.4,76,0,1,0,1,0,2,1,0,0,0,0,0,0,0,0,0,25,0,9,1,0,1,0,1
1.0,26,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,13,0,30,1,0,4,4,0
0.82,22,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,7,0,5,0,9,20,0,0
0.89,45,1,1,0,1,2,0,0,0,0,0,0,0,0,0,0,0,25,0,1,1,0,3,0,1
0.9,31,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,13,0,148,4,26,44,2,0
0.9,31,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,13,0,7,1,0,6,2,0
0.77,24,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,25,0,0,0,0,0,0,1
0.85,24,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,20,0,9,0,0,2,0,0
0.83,31,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,25,0,6,0,0,18,0,1
0.82,58,1,3,0,1,0,0,0,0,0,0,0,0,0,0,0,0,25,0,18,1,0,5,0,1
1.0,22,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,13,0,65,0,7,3,0,0
1.0,30,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,13,0,733,1,3,23,0,0
0.71,20,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,25,0,28,0,0,3,0,1
0.5,48,0,1,2,1,0,0,0,0,0,0,0,0,0,0,0,0,25,0,0,1,0,2,0,1
0.8,21,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,13,0,57,0,14,7,3,0
0.94,78,1,3,0,1,4,0,0,0,0,0,0,0,0,0,0,0,25,0,0,0,0,6,0,1
0.89,38,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,13,1,7,0,0,0,0,1
0.64,31,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,13,1,1,0,0,1,0,1
0.78,20,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,7,0,229,0,60,10,8,0
0.33,36,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,25,0,1,1,1,1,0,1
0.47,52,0,2,2,1,0,0,0,0,0,0,0,0,0,0,0,0,25,0,0,1,1,3,0,1
0.74,22,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,25,0,0,0,0,3,1,1
0.89,30,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,13,0,295,2,14,21,2,0
0.85,24,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,11,0,0,0,0,0,0,0
0.39,40,0,2,0,1,1,0,0,0,0,0,0,0,0,0,0,0,20,1,0,0,0,0,0,1
1.0,17,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,25,0,27,0,0,8,2,0
0.32,49,0,3,1,1,0,2,0,0,0,0,0,0,0,0,0,0,20,1,2,0,0,1,0,1
0.4,25,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,20,1,67,2,5,15,0,1
0.82,22,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,13,0,140,2,13,20,1,0
0.73,36,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,20,1,3,0,0,2,0,1
1.0,19,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,13,0,143,4,13,19,0,0
1.0,20,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,13,0,42,0,2,2,0,0
0.44,67,1,1,2,1,3,0,0,0,0,0,0,0,0,0,0,0,25,0,1,1,0,4,0,1
0.65,49,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,20,1,1,0,0,1,0,1
0.48,19,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,25,0,9,0,0,0,0,1
0.94,78,1,3,0,1,4,0,0,0,0,0,0,0,0,0,0,0,25,0,0,0,0,6,0,1
0.07,20,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,13,1,0,0,0,9,2,1
0.86,25,1,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,7,0,87,3,8,28,1,0
0.83,26,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,11,0,120,1,9,9,0,0
0.81,50,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,20,1,0,0,0,0,0,1
0.83,67,0,5,2,1,2,0,0,0,0,0,0,0,0,0,0,0,25,0,9,1,0,5,0,1
1.0,14,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,25,0,219,4,6,23,0,0
1.0,18,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,25,0,3,0,0,3,0,0
1.0,20,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,13,0,37,0,1,47,0,0
0.78,23,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,13,1,0,0,0,0,0,1
0.94,78,1,3,0,1,4,0,0,0,0,0,0,0,0,0,0,0,25,0,0,0,0,6,0,1
0.78,50,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,20,1,0,0,0,1,0,1
0.86,25,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,20,0,6,0,0,1,2,0
0.83,23,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,13,0,55,2,1,18,7,0
0.8,21,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,13,0,155,1,16,22,10,0
0.94,78,1,3,0,1,4,0,0,0,0,0,0,0,0,0,0,0,25,0,0,0,0,6,0,1
0.43,58,1,1,2,1,0,0,0,0,0,0,0,0,0,0,0,0,25,0,1,0,0,0,0,1
0.94,78,1,3,0,1,4,0,0,0,0,0,0,0,0,0,0,0,25,0,0,0,0,6,0,1
0.9,40,1,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,7,0,419,0,0,27,12,0
0.44,56,0,1,4,1,0,0,0,0,0,0,0,0,0,0,0,0,13,1,8,1,0,4,0,1
0.84,67,0,5,2,1,2,0,0,0,0,0,0,0,0,0,0,0,13,1,9,1,0,5,0,1
0.9,31,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,13,0,37,1,1,1,0,0
0.94,78,1,3,0,1,4,0,0,0,0,0,0,0,0,0,0,0,25,0,0,0,0,6,0,1
0.61,59,0,1,1,1,2,0,0,0,0,0,0,0,0,0,0,0,25,0,0,0,0,0,0,1
0.83,22,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,13,0,2,1,1,1,0,0
0.86,36,1,1,0,1,2,0,0,0,0,0,0,0,0,0,0,0,25,0,0,0,1,1,0,1
0.43,40,1,0,3,1,1,0,0,0,0,0,0,0,0,0,0,0,25,0,11,0,0,5,0,1
1.0,22,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,13,0,66,2,0,45,2,0
0.82,49,1,2,1,1,1,0,0,0,0,0,0,0,0,0,0,0,11,0,297,2,5,3,0,0
1.0,31,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,20,0,34,0,0,9,0,0
1.0,21,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,13,0,85,2,76,17,2,0
0.78,20,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,13,0,126,2,9,18,1,0
0.87,34,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,25,0,4,0,0,3,0,1
0.92,49,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,25,0,0,0,0,0,0,1
0.29,48,0,2,4,1,0,0,0,0,0,0,0,0,0,0,0,0,25,0,1,1,1,1,0,1
0.7,57,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,25,0,18,1,0,5,0,1
0.41,55,0,1,6,1,0,0,0,0,0,0,0,0,0,0,0,0,25,0,0,0,0,0,0,1
1.0,22,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,13,0,168,2,39,18,1,0
0.83,23,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,157,2,0,1,0,0
0.85,24,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,7,0,243,0,8,33,8,0
1.0,17,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,13,0,85,0,1,9,1,0
0.54,62,0,2,1,1,1,0,0,0,0,0,0,0,0,0,0,0,20,1,0,0,0,1,0,1
0.68,29,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,25,0,4,0,0,2,1,1
0.83,41,0,0,1,1,2,0,0,0,0,0,0,0,0,0,0,0,25,0,0,0,0,0,0,1
1.0,27,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,13,0,275,3,8,15,2,0
0.78,20,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,7,0,254,3,27,16,2,0
1.0,18,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,13,0,86,1,0,11,0,0
0.87,32,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,25,0,4,0,0,0,0,1
0.94,67,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,25,0,10,1,0,6,2,1
0.87,26,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,13,0,29,0,0,11,1,0
0.88,27,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,7,0,32,0,0,30,1,0
0.88,28,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,13,0,177,4,6,15,7,0
1.0,23,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,13,0,8,1,13,24,0,0
0.85,24,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,13,0,218,1,8,16,18,0
0.65,50,1,1,2,1,0,0,0,0,0,0,0,0,0,0,0,0,25,0,0,0,0,0,0,1
0.67,29,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,13,0,30,0,1,2,1,0
0.85,24,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,7,0,55,2,5,18,0,0
0.88,27,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,13,0,216,3,4,17,2,0
1.0,18,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,25,0,47,0,6,4,0,0
0.84,32,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,25,0,11,1,2,5,0,1
0.87,26,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,7,0,170,3,8,35,3,0
0.88,27,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,13,0,208,1,14,9,2,0
1.0,22,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,25,0,3,0,0,0,0,0
0.84,67,0,5,2,1,2,0,0,0,0,0,0,0,0,0,0,0,13,1,9,1,0,5,0,1
0.85,24,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,13,0,309,2,8,11,4,0
0.94,78,1,3,0,1,4,0,0,0,0,0,0,0,0,0,0,0,25,0,0,0,0,6,0,1
0.82,22,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,7,0,121,3,1,14,5,0
0.87,26,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,13,0,152,3,0,9,3,0
1.0,30,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,25,0,65,0,0,1,0,0
0.68,33,1,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,25,0,0,1,0,2,0,1
0.33,52,1,0,4,1,2,0,0,0,0,0,0,0,0,0,0,0,13,1,3,1,1,5,0,1
0.86,25,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,7,0,50,1,1,89,1,0
0.41,59,1,1,3,2,1,0,1,0,0,0,0,0,0,0,0,0,25,0,2,0,0,0,0,1
0.69,42,0,2,1,2,0,0,0,0,0,0,0,0,0,0,0,0,25,0,0,0,0,0,0,1
0.85,27,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,22,1,96,2,8,82,0,0
0.93,38,1,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,7,0,94,4,8,29,4,0
0.88,28,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,24,0,62,0,12,7,0,0
0.87,26,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,13,0,36,2,5,1,0,0
0.19,54,1,1,2,1,0,0,0,0,0,0,0,0,0,0,0,0,13,0,102,0,13,7,0,0
0.8,21,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,13,0,88,1,1,10,2,0
1.0,26,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,20,0,112,0,2,5,2,0
0.6,78,1,1,1,1,5,0,2,0,0,0,0,0,0,0,0,0,13,1,11,0,0,6,0,1
0.43,54,1,1,1,1,1,0,1,0,0,0,0,0,0,0,0,0,20,1,0,0,0,1,0,1
0.59,41,1,0,2,1,1,0,0,0,0,0,0,0,0,0,0,0,25,0,0,1,0,0,0,1
0.79,38,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,13,1,1,1,1,1,0,1
0.82,29,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,25,0,5,1,0,33,0,1
0.82,22,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,25,0,147,3,9,52,4,0
0.87,26,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,7,0,108,3,2,28,0,0
0.83,23,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,24,0,61,0,3,10,0,0
0.87,32,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,11,0,95,1,25,19,2,0
0.83,23,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,13,0,129,3,12,13,4,0
0.44,41,1,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,20,1,0,0,0,0,0,1
0.76,65,1,2,0,1,1,0,0,0,0,0,0,0,0,0,0,0,25,0,0,0,0,1,0,1
0.89,29,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,7,0,47,1,4,24,7,0
0.73,21,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,25,0,0,0,0,0,0,1
0.56,49,1,0,4,1,0,0,0,0,0,0,0,0,0,0,0,0,25,0,1,1,1,1,0,1
0.94,78,1,3,0,1,4,0,0,0,0,0,0,0,0,0,0,0,25,0,0,0,0,6,0,1
0.43,70,1,1,5,1,1,0,1,0,0,0,0,0,0,0,0,0,25,0,0,1,0,2,0,1
0.8,27,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,25,0,0,1,0,3,0,1
0.54,25,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,23,0,11,0,8,42,2,0
0.94,78,1,3,0,1,4,0,0,0,0,0,0,0,0,0,0,0,25,0,0,0,0,6,0,1
0.8,21,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,13,0,564,1,47,13,19,0
0.75,19,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,7,0,158,1,15,19,0,0
0.62,47,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,20,1,0,0,0,1,0,1
0.82,22,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,13,0,68,0,39,138,7,0
0.68,29,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,25,0,5,0,0,4,0,1
0.54,55,0,0,2,1,2,1,0,0,0,0,0,0,0,0,0,0,13,1,0,1,2,3,0,1
1.0,29,1,0,2,1,1,0,0,0,0,0,0,0,0,0,0,0,11,0,138,0,16,19,2,0
1.0,17,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,13,0,58,0,2,20,0,0
0.65,50,0,1,2,1,0,0,0,0,0,0,0,0,0,0,0,0,25,0,58,0,0,24,16,1
0.89,30,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,13,0,171,2,19,26,4,0
0.52,20,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,25,0,0,0,0,9,2,1
0.85,67,0,2,0,1,3,0,0,0,0,0,0,0,0,0,0,0,25,0,0,0,0,0,0,1
1.0,20,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,25,0,3,0,0,0,0,0
0.9,25,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,23,0,11,0,8,42,2,0
0.45,56,0,1,4,1,0,0,0,0,0,0,0,0,0,0,0,0,7,1,8,1,0,4,0,1
0.32,64,1,1,2,1,0,1,1,0,0,0,0,0,0,0,0,0,25,0,2,1,0,1,0,1
1.0,19,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,13,0,40,0,0,2,0,0
0.78,20,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,16,0,645,1,1,7,4,0
0.5,60,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,20,1,0,0,0,1,0,1
1.0,25,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,13,0,323,3,1,27,20,0
0.94,78,1,3,0,1,4,0,0,0,0,0,0,0,0,0,0,0,25,0,0,0,0,6,0,1
0.89,40,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,25,0,2,1,0,0,0,1
0.47,45,0,1,2,1,0,0,0,0,0,0,0,0,0,0,0,0,25,0,0,1,0,1,0,1
1.0,18,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,21,0,457,1,4,27,3,0
0.94,78,1,3,0,1,4,0,0,0,0,0,0,0,0,0,0,0,25,0,0,0,0,6,0,1
0.58,46,1,1,2,1,0,0,0,0,0,0,0,0,0,0,0,0,25,0,1,1,0,4,0,1
0.85,30,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,25,0,4,0,0,4,0,1
0.64,51,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,20,1,0,0,0,1,0,1
0.69,53,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,25,0,16,1,0,5,0,1
0.94,78,1,3,0,1,4,0,0,0,0,0,0,0,0,0,0,0,25,0,0,0,0,6,0,1
0.94,78,1,3,0,1,4,0,0,0,0,0,0,0,0,0,0,0,25,0,0,0,0,6,0,1
0.8,21,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,13,0,335,1,22,60,9,0
0.37,71,0,2,2,1,0,1,1,0,0,0,0,0,0,0,0,0,25,0,2,1,0,1,0,1
0.82,30,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,25,0,7,1,3,6,0,1
0.43,55,1,1,3,2,1,0,1,0,0,0,0,0,0,0,0,0,25,0,2,0,0,0,0,1
0.74,46,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,25,0,4,1,1,8,1,1
1.0,27,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,25,0,0,0,0,0,0,0
0.45,54,1,2,1,1,2,0,0,0,0,0,0,0,0,0,0,0,20,1,0,0,0,1,0,1
0.82,22,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,7,0,32,3,14,18,1,0
1.0,25,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,13,0,59,2,1,16,0,0
0.84,55,1,1,1,1,2,0,0,0,0,0,0,0,0,0,0,0,20,1,0,0,0,1,0,1
0.1,23,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,25,0,18,1,0,2,0,1
0.82,22,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,13,0,119,1,0,16,0,0
0.94,78,1,3,0,1,4,0,0,0,0,0,0,0,0,0,0,0,25,0,0,0,0,6,0,1
0.76,56,0,1,0,1,2,0,0,0,0,0,0,0,0,0,0,0,25,0,0,2,3,1,0,1
0.57,78,1,1,1,1,5,0,2,0,0,0,0,0,0,0,0,0,13,1,11,0,0,6,0,1
0.88,28,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,13,0,92,0,1,21,3,0
0.94,78,1,3,0,1,4,0,0,0,0,0,0,0,0,0,0,0,25,0,0,0,0,6,0,1
0.83,41,1,3,1,1,0,0,0,0,0,0,0,0,0,0,0,0,7,0,64,1,15,8,1,0
0.9,32,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,7,0,75,1,0,27,1,0
0.23,25,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,13,0,68,3,5,39,4,0
0.9,31,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,13,0,56,6,6,12,1,0
1.0,19,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,13,0,180,6,51,77,4,0
0.82,59,1,3,0,1,2,0,0,0,0,0,0,0,0,0,0,0,25,0,16,1,0,5,0,1
0.85,24,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,13,0,243,1,9,8,0,0
0.93,40,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,23,0,41,0,0,68,0,0
1.0,20,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,13,0,51,2,2,4,0,0
0.52,20,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,25,0,0,0,0,9,2,1
0.45,72,1,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0,25,0,0,1,0,2,0,1
0.91,33,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,7,0,185,2,6,17,7,0
0.79,23,0,0,0,1,2,0,0,0,0,0,0,0,0,0,0,0,25,0,4,1,1,2,0,1
0.87,26,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,13,0,952,1,0,7,0,0
